type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority
user,France,fr,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,589,3204
user,United_States,en,3,8,1,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,707,3204
user,Spain,es,3,8,24,0,0,0,1,0,F,mrs,TRUE,TRUE,FALSE,TRUE,31,2854
user,United_Kingdom,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,254,2859
user,France,fr,3,8,10,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,693,3198
user,United_States,en,3,8,5,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,706,3202
user,Italy,it,3,8,2,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,701,3205
user,United_States,en,17,8,0,4,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,FALSE,482,2859
user,United_States,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,578,2858
user,Australia,en,3,8,2,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,361,3196
user,Finland,en,5,9,22,0,0,0,0,3,F,mrs,TRUE,FALSE,TRUE,TRUE,21,3200
user,France,fr,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,705,3201
user,Germany,en,7,9,12,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,33,2853
user,United_States,en,3,8,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,693,2857
user,Italy,it,3,9,1,0,0,0,7,0,F,mrs,TRUE,TRUE,FALSE,TRUE,567,3199
user,United_States,en,4,8,0,0,1,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,608,3195
user,France,fr,3,8,22,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,11,2859
user,Germany,en,3,8,12,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,239,3200
user,United_States,en,3,8,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,701,3197
user,United_Kingdom,en,3,8,2,0,0,0,7,0,F,mrs,FALSE,FALSE,FALSE,TRUE,94,3198
user,France,fr,4,8,6,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,27,3204
user,United_Kingdom,en,3,8,1,0,0,0,2,2,F,mrs,TRUE,TRUE,FALSE,TRUE,23,3199
user,United_Kingdom,en,3,10,38,0,0,0,18,3,F,mrs,TRUE,FALSE,TRUE,FALSE,13,3195
user,United_Kingdom,en,3,8,13,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,182,3202
user,United_Kingdom,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,121,3195
user,Denmark,en,3,8,2,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,702,3199
user,France,fr,3,8,0,0,0,0,8,1,F,mrs,FALSE,FALSE,FALSE,TRUE,147,3201
user,France,fr,4,9,1,0,0,0,0,0,M,mr,FALSE,FALSE,FALSE,TRUE,68,2858
user,Italy,en,3,9,1,0,0,0,2,0,M,mr,FALSE,FALSE,FALSE,TRUE,575,3203
user,Spain,es,3,8,5,0,1,0,0,0,F,miss,FALSE,FALSE,FALSE,FALSE,11,3199
user,Germany,de,3,8,68,0,0,0,96,3,F,mrs,FALSE,FALSE,FALSE,TRUE,13,2856
user,France,fr,5,8,1,0,2,100,5,47,F,mrs,FALSE,FALSE,FALSE,TRUE,260,2858
user,Germany,de,3,8,0,0,0,0,10,0,F,mrs,TRUE,FALSE,TRUE,TRUE,638,2859
user,United_Kingdom,en,25,8,12,1,0,0,19,1,F,mrs,FALSE,FALSE,FALSE,FALSE,565,3202
user,Italy,it,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,693,2854
user,France,fr,3,8,2,0,0,0,1,1,F,mrs,TRUE,FALSE,TRUE,TRUE,466,2859
user,United_Kingdom,en,3,8,1,0,0,0,19,1,F,mrs,FALSE,FALSE,FALSE,TRUE,695,3195
user,Sweden,en,3,8,0,0,0,0,3,0,M,mr,TRUE,FALSE,TRUE,TRUE,577,3197
user,Australia,en,3,8,4,0,0,0,2,0,F,mrs,TRUE,FALSE,TRUE,TRUE,67,3199
user,Italy,it,3,8,1,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,691,3196
user,United_Kingdom,en,6,12,1,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,334,3196
user,Denmark,en,3,8,10,0,0,0,7,0,F,mrs,FALSE,FALSE,FALSE,TRUE,31,3199
user,France,fr,4,8,0,0,0,0,2,0,M,mr,TRUE,FALSE,TRUE,TRUE,124,2857
user,Netherlands,en,3,8,3,0,0,0,0,0,F,mrs,TRUE,TRUE,FALSE,TRUE,572,2855
user,Denmark,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,694,2855
user,France,fr,4,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,519,3198
user,Spain,es,4,8,1,0,0,0,1,0,F,mrs,TRUE,TRUE,FALSE,FALSE,632,2854
user,United_States,en,8,8,1,0,0,0,8,0,F,mrs,TRUE,FALSE,TRUE,TRUE,690,2856
user,United_Kingdom,en,3,8,1,0,0,0,0,0,M,mr,TRUE,TRUE,FALSE,TRUE,697,3195
user,Italy,it,4,8,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,595,2857
user,United_Kingdom,en,24,9,2,0,0,0,0,1,M,mr,TRUE,FALSE,TRUE,FALSE,293,3205
user,Italy,it,3,8,7,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,59,3201
user,United_States,en,3,8,1,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,56,3198
user,United_States,en,3,8,0,0,0,0,0,1,F,mrs,TRUE,FALSE,TRUE,TRUE,629,3200
user,United_States,en,4,8,3,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,165,3202
user,Sweden,en,62,16,91,8,27,41.6,106,8,M,mr,TRUE,FALSE,TRUE,FALSE,11,2859
user,United_Kingdom,en,3,8,1,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,71,3205
user,France,fr,4,8,0,2,0,0,0,0,F,mrs,TRUE,TRUE,FALSE,TRUE,51,3198
user,France,fr,3,8,0,0,0,0,0,1,M,mr,FALSE,FALSE,FALSE,TRUE,666,3195
user,United_Kingdom,en,3,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,699,3199
user,France,fr,3,8,0,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,73,2856
user,United_Kingdom,en,3,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,686,2854
user,Australia,en,3,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,445,2856
user,United_States,en,3,8,3,0,0,0,1,0,F,mrs,TRUE,FALSE,TRUE,TRUE,370,2854
user,France,fr,3,8,2,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,577,2854
user,France,fr,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,479,3198
user,France,fr,3,8,1,0,0,0,0,1,F,mrs,TRUE,FALSE,TRUE,TRUE,148,2854
user,United_Kingdom,en,3,8,6,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,693,2855
user,United_States,en,3,8,0,0,0,0,0,1,F,mrs,FALSE,FALSE,FALSE,TRUE,297,2857
user,France,fr,6,8,2,0,3,0,3,0,M,mr,TRUE,FALSE,TRUE,FALSE,521,2854
user,Germany,de,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,335,3200
user,Spain,es,3,8,1,0,0,0,10,0,F,mrs,FALSE,FALSE,FALSE,TRUE,577,3195
user,United_States,en,4,11,5,0,0,0,3,2,F,mrs,TRUE,FALSE,TRUE,TRUE,11,3199
user,France,fr,4,8,0,0,0,0,9,0,F,mrs,FALSE,FALSE,FALSE,TRUE,702,3198
user,France,fr,5,8,2,5,4,100,1,0,F,mrs,TRUE,TRUE,TRUE,TRUE,11,2859
user,United_Kingdom,en,3,8,3,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,192,2852
user,Italy,en,3,9,1,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,692,2853
user,United_Kingdom,en,12,8,0,3,10,90,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,13,3198
user,Denmark,en,3,8,27,0,0,0,5,0,F,mrs,TRUE,FALSE,TRUE,TRUE,147,2855
user,United_States,en,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,463,3196
user,Netherlands,en,3,8,9,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,348,3203
user,United_States,en,3,8,4,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,571,3198
user,Spain,en,10,9,365,0,0,0,431,3,F,mrs,FALSE,FALSE,FALSE,FALSE,11,2858
user,France,fr,9,8,1,1,0,0,1,0,F,mrs,TRUE,FALSE,TRUE,TRUE,266,2858
user,Italy,it,5,8,1,0,0,0,0,0,F,mrs,TRUE,TRUE,FALSE,TRUE,563,2852
user,United_Kingdom,en,3,8,11,0,0,0,0,1,M,mr,TRUE,FALSE,TRUE,TRUE,38,2856
user,Australia,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,49,2857
user,United_States,en,3,8,16,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,696,3204
user,France,fr,3,8,0,0,0,0,2,0,F,mrs,TRUE,FALSE,TRUE,TRUE,380,3195
user,France,fr,29,8,3,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,FALSE,703,3204
user,Germany,en,14,8,31,17,24,83,1,0,F,mrs,TRUE,FALSE,TRUE,FALSE,15,2853
user,Germany,de,3,8,0,0,0,0,1,0,M,mr,TRUE,FALSE,TRUE,TRUE,691,2852
user,United_States,en,3,9,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,165,3200
user,France,fr,3,8,2,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,20,2854
user,Spain,es,3,8,22,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,698,3197
user,France,fr,3,8,1,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,108,3202
user,United_Kingdom,en,3,8,2,0,2,0,4,0,F,miss,FALSE,FALSE,FALSE,TRUE,84,3204
user,Italy,it,3,8,0,1,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,700,3200
user,Germany,de,3,8,1,0,0,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,703,3199
user,Denmark,en,3,8,4,0,0,0,1,1,F,mrs,FALSE,FALSE,FALSE,TRUE,111,2855
user,United_Kingdom,en,3,9,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,696,2857
user,United_States,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,692,2853
user,United_Kingdom,en,10,9,109,0,0,0,17,4,F,mrs,FALSE,FALSE,FALSE,TRUE,159,3205
user,United_States,en,4,8,51,0,0,0,2,2,M,mr,TRUE,FALSE,TRUE,TRUE,12,3198
user,United_Kingdom,en,6,8,0,1,1,0,0,0,M,mr,TRUE,FALSE,TRUE,TRUE,209,3205
user,United_Kingdom,en,3,8,2,0,0,0,0,0,F,mrs,FALSE,FALSE,FALSE,TRUE,347,2857
user,Spain,es,3,8,0,0,0,0,18,0,F,mrs,TRUE,FALSE,TRUE,TRUE,551,2857
user,Sweden,en,4,8,1,0,0,0,3,0,F,mrs,TRUE,FALSE,TRUE,TRUE,646,3198
user,United_States,en,3,8,8,0,0,0,0,0,F,mrs,TRUE,TRUE,FALSE,TRUE,433,3200
user,Denmark,en,3,8,1,0,0,0,25,0,F,mrs,FALSE,FALSE,FALSE,TRUE,74,2856
user,United_Kingdom,en,4,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,547,3198
user,France,fr,3,8,6,0,0,0,5,0,F,mrs,TRUE,FALSE,TRUE,TRUE,115,2857
user,Netherlands,en,3,8,6,0,0,0,0,0,F,mrs,TRUE,FALSE,TRUE,TRUE,670,2858
user,Finland,en,3,8,0,0,0,0,1,0,F,mrs,FALSE,FALSE,FALSE,TRUE,595,3202
user,United_Kingdom,en,3,8,0,0,0,0,2,0,F,mrs,FALSE,FALSE,FALSE,TRUE,708,3204
